id,name,id_area,id_leader
d477c0e0-8af1-4fc8-a3a4-cc00ad1a77b8,Equipo Tech 001,87768783-0c6e-4365-8cb7-d01dc3763b63,e502ff6e-a559-487e-b6d2-ebffc7735fac
476ca220-9242-40b5-9375-f55b7247753e,Grupo Tech 002,87768783-0c6e-4365-8cb7-d01dc3763b63,6df6b33d-6fb0-46c9-a8a1-031da9fefa2d
664bfcbd-21dd-4fea-ae29-1aae5cf286bd,Equipo Tech 003,87768783-0c6e-4365-8cb7-d01dc3763b63,83d9d703-467d-438c-b4a2-faa262d53d21
d180beca-2ce5-4ea2-a8f7-485ca43fd758,Grupo Tech 004,87768783-0c6e-4365-8cb7-d01dc3763b63,8325bdb2-e254-4915-b835-67a7cadb1e92
cf29f238-7500-492f-9c81-5f51eb17ab7b,Equipo Tech 005,87768783-0c6e-4365-8cb7-d01dc3763b63,91c8896d-87a0-450a-9818-8b5f2ba5cc7a
06b1cb91-7450-42a0-b3b8-e1fa30409719,Grupo Tech 006,87768783-0c6e-4365-8cb7-d01dc3763b63,2ead4dab-2caa-449c-88a8-7978090c1d2a
dfaae637-dc03-485f-b655-9b5317256c86,Equipo Tech 007,87768783-0c6e-4365-8cb7-d01dc3763b63,4a639c53-1a48-4843-92bf-33c7fd9ff879
0d5ad20d-0a62-499c-ab44-d422239ba89a,Grupo Tech 008,87768783-0c6e-4365-8cb7-d01dc3763b63,4ce1b751-a2ff-4e99-8944-5f92d609d1b7
df298de5-0f7a-4f43-ad06-d899b7a7d038,Equipo Tech 009,87768783-0c6e-4365-8cb7-d01dc3763b63,1a9076c1-7448-455c-839d-6fe9cd7790ed
ef94226c-2c5f-4171-aca7-4b4d252ef4b4,Grupo Tech 010,87768783-0c6e-4365-8cb7-d01dc3763b63,e7670545-3fe0-4380-ac94-f1350b70bfa9
7bebe4db-16a1-4632-bfd7-46ff644c3e25,Equipo Tech 011,87768783-0c6e-4365-8cb7-d01dc3763b63,11bba16b-8e8c-4a51-8fa0-a032858fa029
17223024-afac-42c1-93d2-694164d627f2,Grupo Tech 012,87768783-0c6e-4365-8cb7-d01dc3763b63,854c13d6-0a4d-4dcf-b1cf-eb0f0a75334b
a051f918-bca0-43eb-b462-e29a7c8593fb,Equipo Tech 013,87768783-0c6e-4365-8cb7-d01dc3763b63,44605ccf-2df0-4170-b175-17cfb1102837
9723bca8-aee6-49c4-88f0-3d9358fda553,Grupo Tech 014,87768783-0c6e-4365-8cb7-d01dc3763b63,ed633c35-0f52-4ae3-897b-f026fec8ae7e
bb4ab941-3839-40af-b8d7-e0c8af88cec3,Equipo Tech 015,87768783-0c6e-4365-8cb7-d01dc3763b63,bfb9f913-92ae-4a0d-8e70-5db4b5cf0e41
41fbc56f-0358-45a3-8d44-ed0fc826d128,Grupo Tech 016,87768783-0c6e-4365-8cb7-d01dc3763b63,3ec8b590-897b-424f-9332-bbadbfa5b094
84da769a-bd5c-48cc-aa1e-e9bdc4404c1d,Equipo Tech 017,87768783-0c6e-4365-8cb7-d01dc3763b63,f9012800-bcb2-4ceb-b01e-0341e346ee8e
47f0a687-be6c-48f7-8b8e-4b67d3baf3eb,Grupo Tech 018,87768783-0c6e-4365-8cb7-d01dc3763b63,995f9f4e-cca8-4ce6-b9a7-c56daf6db723
f98d20d6-708f-4d0c-bf71-d27a83d5e272,Equipo Tech 019,87768783-0c6e-4365-8cb7-d01dc3763b63,9c6d31ff-ba04-4124-b5a2-a0767dc2dda5
d70b65bb-8d63-48f0-b2c5-129297e19ebe,Grupo Tech 020,87768783-0c6e-4365-8cb7-d01dc3763b63,30487046-9462-4718-952b-afb48b630758
16ae3c82-832e-4ac2-8e9d-e2efd4830196,Equipo Tech 021,87768783-0c6e-4365-8cb7-d01dc3763b63,787cc054-28b7-4ea5-a5df-99773a1e550a
e64ce75c-5f5f-4fe1-933d-829482dcdf61,Grupo Tech 022,87768783-0c6e-4365-8cb7-d01dc3763b63,5d79bce8-c682-45bf-a283-a8f196240e10
9e498d70-2703-4ead-b7f8-c1f200e64338,Equipo Tech 023,87768783-0c6e-4365-8cb7-d01dc3763b63,e54f37c8-a04f-40ca-bd5f-526ea63f0094
836f14b8-8bc3-4a90-81c0-177dcd5f6240,Grupo Tech 024,87768783-0c6e-4365-8cb7-d01dc3763b63,2e9afad4-39bc-489c-b6e5-e969e8d99f30
b250d1d3-83b3-4eb5-a69d-a576d40a45d2,Equipo Tech 025,87768783-0c6e-4365-8cb7-d01dc3763b63,3d820812-f4ff-401a-8fe8-6f1fb81965f2
